,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,KO,KO,KO,KO,KO,KO,KO,GE,GE,GE,GE,GE,GE,GE,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01 00:00:00-05:00,26.989396763571687,27.0663170250995,26.277884344439407,26.604795455932617,81729200,0.0,0.0,0.3136318829495881,0.3155126253166814,0.30328702145682035,0.30798885226249695,278913600,0.0,0.0,16.072643790394068,16.19568795338273,15.749652862548828,15.749652862548828,7864400,0.0,0.0,90.09680846240202,90.09680846240202,87.68206666082509,87.73572540283203,2885734,0.0,0.0,24.307558080193605,24.761719802514268,24.01136525958937,24.268064498901367,6571500,0.0,0.0,15.886802498675783,16.243237253514774,15.683125495910645,15.683125495910645,4094865,0.0,0.0
1999-02-02 00:00:00-05:00,26.537501870652438,26.547116907562096,25.57599817968677,25.78752899169922,91965600,0.0,0.0,0.30375712661889903,0.30657821419389486,0.29341226829288536,0.2948228120803833,307160000,0.0,0.0,15.74965390026341,16.05726432800293,15.549707122232723,16.05726432800293,8544600,0.0,0.0,87.57479095458984,87.84309301868258,85.58933435785067,87.57479095458984,2945015,0.0,0.0,24.16933416130579,24.564257319505604,23.794155985934587,24.268064498901367,5093700,0.0,0.0,15.352155263435305,15.453993797302246,15.110288745501318,15.453993797302246,3152895,0.0,0.0
1999-02-03 00:00:00-05:00,25.59520662407073,26.133648235997086,25.537516451364333,25.662511825561523,73749200,0.0,0.0,0.29341235927904186,0.305167765037864,0.291531616904467,0.30234667658805847,338744000,0.0,0.0,16.057270837384603,16.21107611360476,15.780421340188315,15.87270450592041,8492600,0.0,0.0,87.25282510718891,89.88221987539987,87.03818180787793,88.3260498046875,2952402,0.0,0.0,23.91262784215295,25.314608089129727,23.754658975263965,25.077653884887695,8805600,0.0,0.0,15.453990506527813,15.453990506527813,14.970257573665984,15.199394226074219,3076830,0.0,0.0
1999-02-04 00:00:00-05:00,25.86444856235227,25.90290870891339,24.44142313959088,24.47026824951172,89151600,0.0,0.0,0.30234670336857544,0.3028168764478366,0.28400874789856073,0.28494909405708313,463780800,0.0,0.0,15.79578913817129,15.79578913817129,15.411276257495262,15.641983985900879,8295600,0.0,0.0,88.37970125886312,88.86265479301795,85.64298916814808,85.96495819091797,2955782,0.0,0.0,24.68271454479615,25.038145642918728,24.169314672335545,24.623476028442383,7081200,0.0,0.0,15.224854484000426,15.874074096765192,15.059366894859057,15.581289291381836,3598525,0.0,0.0
1999-02-05 00:00:00-05:00,24.65294109880924,24.86447179466486,23.826048378646373,24.61448097229004,127945200,0.0,0.0,0.28777023920179534,0.2887105854627044,0.2670805120486167,0.27319371700286865,777201600,0.0,0.0,15.641983340514031,15.734266428068686,15.21132893192564,15.27285099029541,6035000,0.0,0.0,85.58929367439721,85.96492130614472,82.8525827579165,84.14044189453125,4238553,0.0,0.0,24.544510662963976,24.62349420452747,23.93237827285126,24.149585723876953,4258950,0.0,0.0,15.632206834407123,16.192318613122218,15.543098142338813,15.924991607666016,3254794,0.0,0.0
1999-02-08 00:00:00-05:00,25.008691942096657,25.47021336202001,24.86446649837061,25.422138214111328,109866800,0.0,0.0,0.2760147368055353,0.2854192257955715,0.27272345068082504,0.2840086817741394,468227200,0.0,0.0,15.272862294825112,15.411287028615067,15.088295983105171,15.134437561035156,5983000,0.0,0.0,84.3014590842674,84.89173013474516,83.06725821534376,83.76484680175781,2813933,0.0,0.0,24.30755077696014,24.30755077696014,23.083286281082724,23.1030330657959,4952250,0.0,0.0,15.924993354962536,16.24323964794731,15.428531516789803,15.581289291381836,3257665,0.0,0.0
1999-02-09 00:00:00-05:00,25.374070346657998,25.652906284533362,24.57602266239403,24.62409782409668,77293600,0.0,0.0,0.28541924584521866,0.2938825105683242,0.278835844435587,0.2797762155532837,701153600,0.0,0.0,15.134437984462703,15.595853776671932,15.08829640524178,15.242101669311523,8243600,0.0,0.0,83.28188221878042,84.03313760028331,82.26232485857257,82.42330932617188,2646232,0.0,0.0,23.33998402953148,23.478207887811095,22.68836010992527,22.74759864807129,7435350,0.0,0.0,15.530368642047392,15.708586029774224,15.288502187275261,15.326691627502441,1986317,0.0,0.0
1999-02-10 00:00:00-05:00,24.59525573671096,25.28753814994129,24.402955066369202,24.710636138916016,73694000,0.0,0.0,0.2774253092141867,0.29106143166381937,0.2708427614032678,0.28824034333229065,563628800,0.0,0.0,15.25747794580366,15.657371520996094,15.25747794580366,15.657371520996094,5970200,0.0,0.0,82.20866183683584,84.67706287545923,82.20866183683584,84.0867919921875,2704010,0.0,0.0,22.747594273670003,23.14251718276021,22.55013191521672,23.08327865600586,3841350,0.0,0.0,15.415800940328422,15.606748149131068,15.27577298720648,15.352151870727539,1856910,0.0,0.0
1999-02-11 00:00:00-05:00,25.03754234313965,25.210612912331857,24.67217114151165,25.03754234313965,60366000,0.0,0.0,0.29153158407218105,0.2990553563089677,0.29012104000613376,0.29811498522758484,565196800,0.0,0.0,15.65736703780091,15.964977392178138,15.472800825174573,15.841933250427246,5863800,0.0,0.0,84.0867773795961,85.96491540950548,83.550165342345,85.85758972167969,2441534,0.0,0.0,23.08329004558059,24.228569397198154,23.08329004558059,24.050853729248047,7559550,0.0,0.0,15.453990140495456,15.784965297245883,15.326692003283753,15.65766716003418,1974596,0.0,0.0
1999-02-12 00:00:00-05:00,24.87410372750695,25.181784948720797,24.17220594161286,24.268356323242188,62930400,0.0,0.0,0.294352633230507,0.294352633230507,0.2783655749660506,0.28353843092918396,428904000,0.0,0.0,15.84193818489866,15.980362887485153,15.426664077139181,15.718894004821777,5048600,0.0,0.0,85.69665821044752,85.69665821044752,82.69164370785258,83.81852722167969,3027395,0.0,0.0,23.912629253230254,24.12983849181431,23.103036276901825,23.399229049682617,5636100,0.0,0.0,15.670402248774653,16.01410638531211,15.479454060751403,15.759510040283203,2526670,0.0,0.0
